ID;Kommentti;Mainepisteet
7042;Validi kommentti;2953
7043;Hei, olen kommentti.;9851
7044;¤%qwerty,.;6090
7045;<>!=();-9004
7046;par!si-ttu;1670
7047;,,s.5,.(556;9821
7048;¤%qwerty,.;-954
7049;-.4,56kom-m<entti5;8271
7050;¤%qwerty,.;-670
7051;Validi kommentti;4995
7052;<>!=();-6800
7053;¤%qwerty,.;-6684
7054;-.4,56kom-m<entti5;8628
7055;-.4,56kom-m<entti5;9631
7056;Hei, olen kommentti.;-8205
7057;Validi kommentti;-4318
7058;Validi kommentti;7717
7059;Validi kommentti;3302
7060;-.4,56kom-m<entti5;-6383
7061;Hei, olen kommentti.;-4482
7062;par!si-ttu;3702
7063;Hei, olen kommentti.;342
7064;,,s.5,.(556;3788
7065;,,s.5,.(556;-6547
7066;¤%qwerty,.;8250
7067;Hei, olen kommentti.;-1280
7068;¤%qwerty,.;-434
7069;Hei, olen kommentti.;-8999
7070;-.4,56kom-m<entti5;1161
7071;par!si-ttu;-7550
7072;Validi kommentti;5321
7073;¤%qwerty,.;-2472
7074;¤%qwerty,.;818
7075;Validi kommentti;2828
7076;Validi kommentti;4390
7077;-.4,56kom-m<entti5;-5329
7078;Hei, olen kommentti.;-3998
7079;Validi kommentti;1238
7080;,,s.5,.(556;8988
7081;,,s.5,.(556;1364
7082;-.4,56kom-m<entti5;295
7083;¤%qwerty,.;815
7084;<>!=();-3842
7085;¤%qwerty,.;-1125
7086;,,s.5,.(556;-802
7087;-.4,56kom-m<entti5;-2262
7088;<>!=();-1771
7089;,,s.5,.(556;7534
7090;Hei, olen kommentti.;-8285
7091;<>!=();-5771
7092;par!si-ttu;9513
7093;<>!=();4578
7094;Validi kommentti;-8691
7095;Validi kommentti;-9910
7096;<>!=();-7231
7097;¤%qwerty,.;-8719
7098;Validi kommentti;-9827
7099;,,s.5,.(556;-8346
7100;¤%qwerty,.;-8556
7101;,,s.5,.(556;684
7102;par!si-ttu;-5168
7103;-.4,56kom-m<entti5;-9096
7104;-.4,56kom-m<entti5;-6653
7105;¤%qwerty,.;4031
7106;¤%qwerty,.;-7
7107;Hei, olen kommentti.;-5204
7108;<>!=();-1140
7109;¤%qwerty,.;7995
7110;<>!=();5089
7111;¤%qwerty,.;8959
7112;Validi kommentti;2765
7113;<>!=();-938
7114;-.4,56kom-m<entti5;-7354
7115;par!si-ttu;2424
7116;par!si-ttu;2074
7117;Hei, olen kommentti.;-1926
7118;par!si-ttu;-5205
7119;Hei, olen kommentti.;1780
7120;Hei, olen kommentti.;1122
7121;,,s.5,.(556;-7876
7122;par!si-ttu;552
7123;¤%qwerty,.;-9781
7124;Validi kommentti;-8949
7125;¤%qwerty,.;7229
7126;-.4,56kom-m<entti5;5805
7127;¤%qwerty,.;-9649
7128;<>!=();-3286
7129;¤%qwerty,.;-4034
7130;,,s.5,.(556;-4326
7131;<>!=();1063
7132;-.4,56kom-m<entti5;-3182
7133;<>!=();-7709
7134;Validi kommentti;8012
7135;Hei, olen kommentti.;-1487
7136;,,s.5,.(556;-9156
7137;<>!=();-6714
7138;-.4,56kom-m<entti5;-3727
7139;par!si-ttu;-6487
7140;,,s.5,.(556;7727
7141;-.4,56kom-m<entti5;-5967
7142;,,s.5,.(556;-2489
7143;Hei, olen kommentti.;-8069
7144;par!si-ttu;-8011
7145;¤%qwerty,.;-5120
7146;<>!=();468
7147;Validi kommentti;-8646
7148;Validi kommentti;-4936
7149;Hei, olen kommentti.;-195
7150;<>!=();-6579
7151;par!si-ttu;7212
7152;,,s.5,.(556;-4225
7153;Validi kommentti;-2873
7154;par!si-ttu;5565
7155;¤%qwerty,.;6134
7156;¤%qwerty,.;-156
7157;Hei, olen kommentti.;2594
7158;¤%qwerty,.;8413
7159;Hei, olen kommentti.;1153
7160;,,s.5,.(556;3063
7161;<>!=();2311
7162;Hei, olen kommentti.;-9811
7163;<>!=();-1319
7164;-.4,56kom-m<entti5;8641
7165;<>!=();-365
7166;¤%qwerty,.;1468
7167;Hei, olen kommentti.;-242
7168;Hei, olen kommentti.;-8712
7169;¤%qwerty,.;706
7170;,,s.5,.(556;-3033
7171;Hei, olen kommentti.;7758
7172;Validi kommentti;-5984
7173;-.4,56kom-m<entti5;9661
7174;Hei, olen kommentti.;-7477
7175;par!si-ttu;-2653
7176;-.4,56kom-m<entti5;-8772
7177;<>!=();1336
7178;par!si-ttu;2875
7179;<>!=();-3128
7180;Validi kommentti;-6695
7181;Validi kommentti;2989
7182;Validi kommentti;-2978
7183;par!si-ttu;-989
7184;-.4,56kom-m<entti5;8961
7185;,,s.5,.(556;-1340
7186;,,s.5,.(556;-8916
7187;par!si-ttu;1678
7188;-.4,56kom-m<entti5;-2111
7189;¤%qwerty,.;4044
7190;Validi kommentti;-5690
7191;-.4,56kom-m<entti5;956
7192;Hei, olen kommentti.;3578
7193;<>!=();-4381
7194;¤%qwerty,.;-9595
7195;-.4,56kom-m<entti5;6063
7196;<>!=();-7334
7197;<>!=();-1808
7198;-.4,56kom-m<entti5;6339
7199;par!si-ttu;926
7200;par!si-ttu;-3678
7201;-.4,56kom-m<entti5;-8672
7202;Hei, olen kommentti.;7339
7203;,,s.5,.(556;-6626
7204;Hei, olen kommentti.;1443
7205;par!si-ttu;9118
7206;<>!=();-9739
7207;Hei, olen kommentti.;4522
7208;,,s.5,.(556;5959
7209;par!si-ttu;9942
7210;Hei, olen kommentti.;8105
7211;par!si-ttu;5162
7212;-.4,56kom-m<entti5;2127
7213;Validi kommentti;6649
7214;Validi kommentti;2049
7215;,,s.5,.(556;3703
7216;Hei, olen kommentti.;1087
7217;,,s.5,.(556;9369
7218;<>!=();424
7219;par!si-ttu;-7578
7220;¤%qwerty,.;8774
7221;¤%qwerty,.;6620
7222;Hei, olen kommentti.;-5901
7223;,,s.5,.(556;-6854
7224;<>!=();2404
7225;¤%qwerty,.;-1215
7226;-.4,56kom-m<entti5;3599
7227;-.4,56kom-m<entti5;-5003
7228;Validi kommentti;2265
7229;Hei, olen kommentti.;9108
7230;,,s.5,.(556;-6363
7231;¤%qwerty,.;3271
7232;Validi kommentti;-6448
7233;-.4,56kom-m<entti5;697
7234;,,s.5,.(556;-4786
7235;Hei, olen kommentti.;-4850
7236;,,s.5,.(556;-4555
7237;Hei, olen kommentti.;-739
7238;Hei, olen kommentti.;8688
7239;par!si-ttu;-2995
7240;par!si-ttu;8270
7241;-.4,56kom-m<entti5;5620
7242;<>!=();4594
7243;,,s.5,.(556;-3606
7244;¤%qwerty,.;-958
7245;Hei, olen kommentti.;1934
7246;<>!=();2217
7247;Validi kommentti;6914
7248;-.4,56kom-m<entti5;7090
7249;-.4,56kom-m<entti5;-9273
7250;Hei, olen kommentti.;-5775
7251;¤%qwerty,.;6854
7252;,,s.5,.(556;9829
7253;¤%qwerty,.;4128
7254;,,s.5,.(556;-4655
7255;-.4,56kom-m<entti5;7685
7256;¤%qwerty,.;7777
7257;,,s.5,.(556;-8389
7258;Validi kommentti;-9610
9469;Hei, olen kommentti.;6271
9470;Hei, olen kommentti.;-9332
9471;Validi kommentti;7119
9472;¤%qwerty,.;-6492
9473;par!si-ttu;7080
9474;Hei, olen kommentti.;-290
9475;Validi kommentti;-365
9476;,,s.5,.(556;9923
9477;-.4,56kom-m<entti5;8400
9478;par!si-ttu;-291
9479;<>!=();-3160
9480;par!si-ttu;8572
9481;Validi kommentti;9503
9482;¤%qwerty,.;4405
9483;par!si-ttu;1574
9484;-.4,56kom-m<entti5;3110
9485;Validi kommentti;-3625
9486;¤%qwerty,.;-2153
9487;Validi kommentti;-6633
9488;<>!=();-1094
9489;¤%qwerty,.;-2409
9490;par!si-ttu;-5698
9491;-.4,56kom-m<entti5;114
9492;Hei, olen kommentti.;4621
9493;Hei, olen kommentti.;-7103
9494;Validi kommentti;6967
9495;Validi kommentti;1469
9496;Validi kommentti;8776
9497;Hei, olen kommentti.;4378
9498;Validi kommentti;367
9499;par!si-ttu;289
9500;par!si-ttu;-7760
9501;,,s.5,.(556;-1307
9502;Hei, olen kommentti.;1516
9503;,,s.5,.(556;-2459
9504;<>!=();-7905
9505;par!si-ttu;-2639
9506;-.4,56kom-m<entti5;2401
9507;,,s.5,.(556;9380
9508;,,s.5,.(556;448
9509;<>!=();3342
9510;Validi kommentti;-686
9511;Validi kommentti;-6609
9512;Validi kommentti;-517
9513;<>!=();-5968
9514;Validi kommentti;-2980
9515;Validi kommentti;-5344
9516;Hei, olen kommentti.;-3170
9517;Hei, olen kommentti.;-2465
9518;par!si-ttu;-1486
9519;par!si-ttu;8369
9520;¤%qwerty,.;1628
9521;par!si-ttu;5949
9522;Validi kommentti;7252
9523;Validi kommentti;2814
9524;,,s.5,.(556;-1425
9525;-.4,56kom-m<entti5;-6280
9526;Validi kommentti;-838
9527;<>!=();360
9528;<>!=();8638
9529;<>!=();5320
9530;Validi kommentti;-4731
9531;,,s.5,.(556;-5404
9532;¤%qwerty,.;6495
9533;-.4,56kom-m<entti5;2407
9534;<>!=();-1387
9535;-.4,56kom-m<entti5;1222
9536;Hei, olen kommentti.;5913
9537;,,s.5,.(556;-3529
9538;<>!=();-7101
9539;,,s.5,.(556;3763
9540;-.4,56kom-m<entti5;2170
9541;-.4,56kom-m<entti5;-8951
9542;Validi kommentti;3497
9543;Hei, olen kommentti.;5798
9544;-.4,56kom-m<entti5;2956
9545;Validi kommentti;-6306
9546;Validi kommentti;8644
9547;<>!=();-4408
9548;Hei, olen kommentti.;-1838
9549;¤%qwerty,.;2322
9550;-.4,56kom-m<entti5;-5737
9551;¤%qwerty,.;-7358
9552;,,s.5,.(556;-8360
9553;Hei, olen kommentti.;1655
9554;Hei, olen kommentti.;-4563
9555;¤%qwerty,.;5708
9556;¤%qwerty,.;-5199
9557;Hei, olen kommentti.;1349
9558;,,s.5,.(556;-700
9559;,,s.5,.(556;-4418
9560;,,s.5,.(556;2089
9561;,,s.5,.(556;3635
9562;¤%qwerty,.;-1430
9563;¤%qwerty,.;5211
9564;¤%qwerty,.;-3290
9565;par!si-ttu;-60
9566;par!si-ttu;-1756
9567;Validi kommentti;-9316
9568;¤%qwerty,.;-3320
9569;¤%qwerty,.;4701
9570;<>!=();-829
9571;¤%qwerty,.;-7576
9572;Hei, olen kommentti.;-4241
9573;¤%qwerty,.;-1132
9574;<>!=();4891
9575;Hei, olen kommentti.;5617
9576;par!si-ttu;9495
9577;Hei, olen kommentti.;9373
9578;Validi kommentti;7440
9579;¤%qwerty,.;4266
9580;par!si-ttu;-2531
9581;,,s.5,.(556;-2464
9582;,,s.5,.(556;-5491
9583;Validi kommentti;5244
9584;,,s.5,.(556;-601
9585;¤%qwerty,.;1237
9586;par!si-ttu;-4888
9587;¤%qwerty,.;3157
9588;¤%qwerty,.;-8382
9589;¤%qwerty,.;-8505
9590;par!si-ttu;4024
9591;<>!=();-7926
9592;Hei, olen kommentti.;-4899
9593;Hei, olen kommentti.;3720
9594;-.4,56kom-m<entti5;9536
9595;par!si-ttu;8368
9596;,,s.5,.(556;-7455
9597;par!si-ttu;9322
9598;¤%qwerty,.;4420
9599;Hei, olen kommentti.;1496
9600;Hei, olen kommentti.;8618
9601;-.4,56kom-m<entti5;-1140
9602;-.4,56kom-m<entti5;-5514
9603;-.4,56kom-m<entti5;-9042
9604;-.4,56kom-m<entti5;3404
9605;¤%qwerty,.;-5434
9606;<>!=();-8588
9607;¤%qwerty,.;-459
9608;,,s.5,.(556;-2924
9609;,,s.5,.(556;-7313
9610;<>!=();1184
9611;¤%qwerty,.;-2004
9612;-.4,56kom-m<entti5;-7095
9613;par!si-ttu;-5178
9614;Hei, olen kommentti.;-6736
9615;<>!=();357
9616;,,s.5,.(556;-2712
9617;Validi kommentti;-52
9618;-.4,56kom-m<entti5;986
9619;Hei, olen kommentti.;-2185
9620;<>!=();-2742
9621;¤%qwerty,.;5764
9622;¤%qwerty,.;-4692
9623;¤%qwerty,.;2677
9624;par!si-ttu;-3628
9625;-.4,56kom-m<entti5;1425
9626;,,s.5,.(556;5251
9627;-.4,56kom-m<entti5;-9672
9628;Validi kommentti;8319
9629;par!si-ttu;4360
9630;Validi kommentti;7930
9631;<>!=();4715
9632;,,s.5,.(556;2460
9633;<>!=();3320
9634;par!si-ttu;-3813
9635;par!si-ttu;6852
9636;<>!=();4426
9637;¤%qwerty,.;-1783
9638;,,s.5,.(556;6275
9639;<>!=();-3848
9640;-.4,56kom-m<entti5;-332
9641;par!si-ttu;-6880
9642;,,s.5,.(556;-5740
9643;Hei, olen kommentti.;5952
9644;Validi kommentti;-2227
9645;Validi kommentti;-7892
9646;par!si-ttu;1941
9647;¤%qwerty,.;-2447
9648;Hei, olen kommentti.;31
9649;<>!=();-2259
9650;-.4,56kom-m<entti5;1238
9651;Validi kommentti;70
9652;,,s.5,.(556;828
9653;Validi kommentti;8024
9654;<>!=();-1812
9655;Hei, olen kommentti.;3169
9656;par!si-ttu;7696
9657;Validi kommentti;-3611
9658;Hei, olen kommentti.;4374
9659;,,s.5,.(556;-3299
9660;Validi kommentti;-2938
9661;,,s.5,.(556;9546
9662;<>!=();5959
9663;Hei, olen kommentti.;5343
9664;<>!=();5834
9665;par!si-ttu;-1874
9666;¤%qwerty,.;5776
9667;par!si-ttu;7267
9668;Validi kommentti;-4092
9669;Hei, olen kommentti.;-6453
9670;par!si-ttu;-8494
9671;Validi kommentti;7146
9672;Hei, olen kommentti.;3976
9673;-.4,56kom-m<entti5;-3456
9674;<>!=();-4440
9675;,,s.5,.(556;7093
9676;Validi kommentti;-5360
9677;-.4,56kom-m<entti5;-1924
9678;-.4,56kom-m<entti5;-6283
9679;-.4,56kom-m<entti5;-1522
9680;,,s.5,.(556;-8780
9681;<>!=();7690
9682;,,s.5,.(556;-5850
9683;Validi kommentti;-5453
9684;<>!=();974
9685;Validi kommentti;-122
9686;par!si-ttu;-5884
9687;Validi kommentti;-9693
9688;,,s.5,.(556;8909
9689;-.4,56kom-m<entti5;3504
9690;Validi kommentti;-9023
9691;,,s.5,.(556;827
9692;par!si-ttu;8190
9693;Validi kommentti;5344
9694;¤%qwerty,.;290
9695;Hei, olen kommentti.;-9706
9696;Validi kommentti;3104
9697;,,s.5,.(556;-7725
9698;-.4,56kom-m<entti5;9959
9699;Validi kommentti;4935
9700;,,s.5,.(556;77
9701;Hei, olen kommentti.;-6469
9702;¤%qwerty,.;4370
9703;,,s.5,.(556;1732
9704;¤%qwerty,.;9342
9705;<>!=();-3478
9706;Validi kommentti;-4475
9707;,,s.5,.(556;8385
9708;¤%qwerty,.;-8508
9709;¤%qwerty,.;-7218
9710;¤%qwerty,.;-8422
9711;-.4,56kom-m<entti5;2043
9712;-.4,56kom-m<entti5;8578
;;
;
;;;
9713;par!si-ttu;-5024
9714;Hei, olen kommentti.;7108
9715;-.4,56kom-m<entti5;2559
9716;Hei, olen kommentti.;-1307
9717;¤%qwerty,.;9400
9718;,,s.5,.(556;5322
9719;Validi kommentti;5967
9720;<>!=();4596
9721;par!si-ttu;-9859
9722;¤%qwerty,.;-7389
9723;,,s.5,.(556;-8113
9724;Hei, olen kommentti.;771
9725;,,s.5,.(556;5729
9726;-.4,56kom-m<entti5;-7935
9727;Hei, olen kommentti.;8404
9728;<>!=();1143
9729;Hei, olen kommentti.;-4784
9730;<>!=();-6038
9731;Validi kommentti;704
9732;<>!=();-8290
9733;,,s.5,.(556;-8153
9734;Validi kommentti;-8666
9735;-.4,56kom-m<entti5;121
9736;par!si-ttu;-3989
9737;¤%qwerty,.;-5796
9738;-.4,56kom-m<entti5;7219
9739;Validi kommentti;-6503
9740;Validi kommentti;-4573
9741;Validi kommentti;4039
9742;¤%qwerty,.;2380
9743;,,s.5,.(556;1689
9744;Validi kommentti;7037
9745;<>!=();7046
9746;<>!=();4080
9747;<>!=();715
9748;<>!=();204
9749;<>!=();-4813
9750;<>!=();8402
9751;-.4,56kom-m<entti5;3181
9752;Hei, olen kommentti.;-181
9753;Validi kommentti;-7770
9754;Hei, olen kommentti.;-7559
9755;Validi kommentti;79
9756;-.4,56kom-m<entti5;-510
9757;Hei, olen kommentti.;4613
9758;<>!=();6158
9759;-.4,56kom-m<entti5;7608
9760;,,s.5,.(556;-1593
9761;Hei, olen kommentti.;2036
9762;-.4,56kom-m<entti5;9795
9763;Hei, olen kommentti.;9143
9764;Validi kommentti;7134
9765;¤%qwerty,.;-1050
9766;<>!=();-516
9767;<>!=();-2709
9768;<>!=();-624
9769;Hei, olen kommentti.;1543
9770;-.4,56kom-m<entti5;-3538
9771;-.4,56kom-m<entti5;-5964
9772;<>!=();1997
9773;¤%qwerty,.;-1710
9774;Validi kommentti;3219
9775;¤%qwerty,.;-1827
9776;¤%qwerty,.;253
9777;,,s.5,.(556;3436
9778;par!si-ttu;3186
9779;Hei, olen kommentti.;-6732
9780;Validi kommentti;676
9781;Hei, olen kommentti.;-1596
9782;-.4,56kom-m<entti5;7627
9783;¤%qwerty,.;7753
9784;Hei, olen kommentti.;-790
9785;par!si-ttu;-9348
9786;¤%qwerty,.;-2699
9787;par!si-ttu;5014
9788;,,s.5,.(556;143
9789;Hei, olen kommentti.;-4590
9790;,,s.5,.(556;-3267
9791;par!si-ttu;-6578
9792;par!si-ttu;1608
9793;-.4,56kom-m<entti5;-2387
9794;-.4,56kom-m<entti5;-9988
9795;Hei, olen kommentti.;3111
9796;,,s.5,.(556;112
9797;Hei, olen kommentti.;969
9798;-.4,56kom-m<entti5;-2445
9799;<>!=();8281
9800;Validi kommentti;1739
9801;par!si-ttu;-5669
9802;-.4,56kom-m<entti5;7358
9803;-.4,56kom-m<entti5;7109
9804;,,s.5,.(556;5734
9805;par!si-ttu;913
9806;-.4,56kom-m<entti5;-4503
9807;,,s.5,.(556;-4504
9808;-.4,56kom-m<entti5;5545
9809;Validi kommentti;-4431
9810;¤%qwerty,.;-3489
9811;-.4,56kom-m<entti5;-1753
9812;,,s.5,.(556;-5044
9813;Hei, olen kommentti.;-7962
9814;¤%qwerty,.;5863
9815;Validi kommentti;3583
9816;par!si-ttu;-3107
9817;¤%qwerty,.;5901
9818;-.4,56kom-m<entti5;8765
9819;par!si-ttu;-2411
9820;,,s.5,.(556;-3482
9821;¤%qwerty,.;-9020
9822;Hei, olen kommentti.;-1745
9823;-.4,56kom-m<entti5;1806
9824;-.4,56kom-m<entti5;-2993
9825;Hei, olen kommentti.;5051
9826;¤%qwerty,.;394
9827;¤%qwerty,.;2979
9828;par!si-ttu;-5055
9829;,,s.5,.(556;1047
9830;,,s.5,.(556;-5554
9831;Validi kommentti;9653
9832;Hei, olen kommentti.;478
9833;<>!=();-9317
9834;-.4,56kom-m<entti5;2388
9835;par!si-ttu;4240
9836;Validi kommentti;-2260
9837;-.4,56kom-m<entti5;-6764
9838;¤%qwerty,.;3045
9839;¤%qwerty,.;9677
9840;par!si-ttu;-3633
9841;,,s.5,.(556;-191
9842;<>!=();19
9843;Hei, olen kommentti.;4955
9844;,,s.5,.(556;6250
9845;Validi kommentti;-4821
9846;-.4,56kom-m<entti5;-7899
9847;<>!=();6625
9848;Validi kommentti;-2610
9849;,,s.5,.(556;8438
9850;Validi kommentti;5308
9851;¤%qwerty,.;7020
9852;,,s.5,.(556;-6172
9853;<>!=();-9613
9854;Validi kommentti;-1206
9855;Validi kommentti;6299
9856;-.4,56kom-m<entti5;4378
9857;-.4,56kom-m<entti5;-4041
9858;¤%qwerty,.;-7068
9859;Hei, olen kommentti.;-2842
9860;Hei, olen kommentti.;6139
9861;¤%qwerty,.;8435
9862;Hei, olen kommentti.;-1836
9863;par!si-ttu;-713
9864;Validi kommentti;4639
9865;<>!=();-9917
9866;Hei, olen kommentti.;-9572
9867;<>!=();8414
9868;¤%qwerty,.;7797
9869;-.4,56kom-m<entti5;6350
9870;Validi kommentti;672
9871;¤%qwerty,.;3496
9872;,,s.5,.(556;6383
9873;Hei, olen kommentti.;9673
9874;Validi kommentti;-8149
9875;par!si-ttu;1182
9876;par!si-ttu;-7568
9877;Validi kommentti;188
9878;<>!=();-5429
9879;¤%qwerty,.;5924
9880;¤%qwerty,.;-3763
9881;Hei, olen kommentti.;-4943
9882;Hei, olen kommentti.;5066
9883;Hei, olen kommentti.;-7605
9884;Hei, olen kommentti.;1668
9885;¤%qwerty,.;-2712
9886;<>!=();9572
9887;-.4,56kom-m<entti5;-2822
9888;Hei, olen kommentti.;-8475
9889;par!si-ttu;5745
9890;¤%qwerty,.;-5777
9891;-.4,56kom-m<entti5;104
9892;-.4,56kom-m<entti5;8727
9893;¤%qwerty,.;5976
9894;par!si-ttu;-164
9895;-.4,56kom-m<entti5;4895
9896;,,s.5,.(556;-6943
9897;-.4,56kom-m<entti5;-1650
9898;Hei, olen kommentti.;6896
9899;<>!=();-6176
9900;¤%qwerty,.;-5818
9901;,,s.5,.(556;959
9902;Validi kommentti;-3758
99999;flipflop!!;123
9903;¤%qwerty,.;9901
9904;,,s.5,.(556;5632
9905;Hei, olen kommentti.;6562
9906;-.4,56kom-m<entti5;-2050
9907;Hei, olen kommentti.;3494
9908;,,s.5,.(556;-5922
9909;par!si-ttu;-3288
9910;Validi kommentti;5425
9911;<>!=();9705
9912;,,s.5,.(556;8918
9913;par!si-ttu;2591
9914;<>!=();3601
9915;Validi kommentti;9652
9916;-.4,56kom-m<entti5;1646
9917;par!si-ttu;-6580
9918;<>!=();8475
9919;Validi kommentti;1901
9920;,,s.5,.(556;2680
9921;Hei, olen kommentti.;-1009
9922;Hei, olen kommentti.;5124
9923;par!si-ttu;-1225
9924;-.4,56kom-m<entti5;6388
9925;-.4,56kom-m<entti5;5530
9926;<>!=();9866
9927;Validi kommentti;204
9928;Validi kommentti;-2710
9929;-.4,56kom-m<entti5;-462
9930;<>!=();-4587
9931;¤%qwerty,.;2199
9932;-.4,56kom-m<entti5;-74
9933;Hei, olen kommentti.;-5727
9934;,,s.5,.(556;3242
9935;,,s.5,.(556;-6128
9936;<>!=();5027
9937;Hei, olen kommentti.;-2732
9938;-.4,56kom-m<entti5;7141
9939;<>!=();6195
9940;,,s.5,.(556;-6214
9941;Hei, olen kommentti.;-264
9942;Validi kommentti;5403
9943;<>!=();7644
9944;<>!=();1464
9945;-.4,56kom-m<entti5;-9067
9946;<>!=();-406
9947;Validi kommentti;-7026
9948;¤%qwerty,.;3867
9949;Hei, olen kommentti.;-5970
9950;¤%qwerty,.;8920
9951;¤%qwerty,.;-31
9952;¤%qwerty,.;-485
9953;Validi kommentti;5279
9954;<>!=();3045
9955;Hei, olen kommentti.;-4587
9956;Hei, olen kommentti.;-5242
9957;Validi kommentti;-5524
9958;par!si-ttu;7846
9959;par!si-ttu;-4205
9960;<>!=();5606
9961;<>!=();-453
9962;Validi kommentti;3179
9963;-.4,56kom-m<entti5;186
9964;,,s.5,.(556;3132
9965;Hei, olen kommentti.;8574
9966;par!si-ttu;4396
9967;,,s.5,.(556;-3336
9968;,,s.5,.(556;1412
9969;Validi kommentti;-9938
9970;¤%qwerty,.;-1979
9971;Validi kommentti;4953
9972;Hei, olen kommentti.;6798
9973;¤%qwerty,.;-2142
9978;Validi kommentti;9998
9979;Validi kommentti;-7127
9980;par!si-ttu;601
9981;,,s.5,.(556;4065
9982;-.4,56kom-m<entti5;-6077
9983;Validi kommentti;-2492
9984;Validi kommentti;8679
9985;-.4,56kom-m<entti5;-1558
9986;-.4,56kom-m<entti5;-4273
9987;par!si-ttu;-2167
9988;Hei, olen kommentti.;4922
9989;,,s.5,.(556;-1831
9990;Validi kommentti;6250
9991;Validi kommentti;4125
9992;Hei, olen kommentti.;-4525
9993;Validi kommentti;-2557
9994;<>!=();3535
9995;¤%qwerty,.;-5764
9996;Validi kommentti;-1885
9997;¤%qwerty,.;8630
9998;Validi kommentti;-4918
9999;"#¤"%/%&#(#%&/#¤%&Q#¤%!"#¤¤&!#%¤/"!¤&("&%)&QUADH#¤&"#&!#&!%/%;-498327
